dataset;missing_frac;imp_mlp_mean;imp_mlp_std;clf_original_mean;clf_original_std;clf_mlp_mean;clf_mlp_std;;;;
balance_scale;0.1;0.850388;0.049118;0.832447;0.015476;0.834752;0.018738;;;;
balance_scale;0.2;0.877395;0.039280;0.832447;0.015476;0.834929;0.019580;;;;
balance_scale;0.3;0.855471;0.047942;0.832447;0.015476;0.835461;0.022084;;;;
bank_marketing;0.1;0.449505;0.008461;0.388536;0.003241;0.399811;0.003375;;;;
bank_marketing;0.2;0.445989;0.006078;0.388536;0.003241;0.409796;0.003402;;;;
bank_marketing;0.3;0.445559;0.004471;0.388536;0.003241;0.417404;0.003340;;;;
car_evaluation;0.1;0.966111;0.023967;0.887604;0.010349;0.885485;0.011071;;;;
car_evaluation;0.2;0.962102;0.015245;0.887604;0.010349;0.882659;0.011631;;;;
car_evaluation;0.3;0.953315;0.018741;0.887604;0.010349;0.880604;0.011654;;;;
image_segmentation;0.1;0.762112;0.039524;0.799856;0.010852;0.792689;0.009634;;;;
image_segmentation;0.2;0.751909;0.025694;0.799856;0.010852;0.782540;0.011595;;;;
image_segmentation;0.3;0.730378;0.024147;0.799856;0.010852;0.773064;0.009860;;;;
nursery;0.1;0.998199;0.001953;0.930290;0.004007;0.930264;0.004010;;;;
nursery;0.2;0.998622;0.000979;0.930290;0.004007;0.930135;0.003994;;;;
nursery;0.3;0.997611;0.001963;0.930290;0.004007;0.930135;0.004029;;;;
obesity;0.1;0.885261;0.029933;0.772608;0.011680;0.771188;0.011583;;;;
obesity;0.2;0.880791;0.032927;0.772608;0.011680;0.768297;0.012015;;;;
obesity;0.3;0.856358;0.044029;0.772608;0.011680;0.765037;0.014840;;;;
pen_based_recognition;0.1;0.988036;0.005081;0.990944;0.001819;0.990661;0.001827;;;;
pen_based_recognition;0.2;0.987993;0.003855;0.990944;0.001819;0.990590;0.001771;;;;
pen_based_recognition;0.3;0.985384;0.005928;0.990944;0.001819;0.989994;0.001828;;;;
student;0.1;0.157037;0.064441;0.141026;0.026313;0.143932;0.022812;;;;
student;0.2;0.154444;0.033442;0.141026;0.026313;0.145983;0.022077;;;;
student;0.3;0.158765;0.027420;0.141026;0.026313;0.150598;0.020841;;;;
wine;0.1;0.880556;0.123183;0.964815;0.020257;0.961728;0.023792;;;;
wine;0.2;0.841667;0.084333;0.964815;0.020257;0.961111;0.022991;;;;
wine;0.3;0.832407;0.109053;0.964815;0.020257;0.953086;0.031791;;;;
