dataset;missing_frac;imp_rf_mean;imp_rf_std;clf_original_mean;clf_original_std;clf_rf_mean;clf_rf_std;;
balance_scale;0.1;0.841085;0.056664;0.832447;0.015476;0.831383;0.019663;;
balance_scale;0.2;0.847893;0.031613;0.832447;0.015476;0.831028;0.020657;;
balance_scale;0.3;0.842494;0.025157;0.832447;0.015476;0.830142;0.020903;;
bank_marketing;0.1;0.432396;0.008024;0.388536;0.003241;0.395581;0.003215;;
bank_marketing;0.2;0.429794;0.005260;0.388536;0.003241;0.401519;0.003663;;
bank_marketing;0.3;0.429489;0.004363;0.388536;0.003241;0.407168;0.003614;;
car_evaluation;0.1;0.951944;0.022068;0.887604;0.010349;0.884136;0.009860;;
car_evaluation;0.2;0.951729;0.014760;0.887604;0.010349;0.881246;0.011365;;
car_evaluation;0.3;0.944291;0.011541;0.887604;0.010349;0.878548;0.011388;;
image_segmentation;0.1;0.754451;0.039002;0.799856;0.010852;0.790043;0.011373;;
image_segmentation;0.2;0.739319;0.030219;0.799856;0.010852;0.775950;0.012250;;
image_segmentation;0.3;0.721649;0.026960;0.799856;0.010852;0.760125;0.010723;;
nursery;0.1;0.987431;0.004538;0.930290;0.004007;0.929612;0.003854;;
nursery;0.2;0.984307;0.003827;0.930290;0.004007;0.928807;0.003942;;
nursery;0.3;0.981808;0.003808;0.930290;0.004007;0.927675;0.003972;;
obesity;0.1;0.935601;0.019792;0.772608;0.011680;0.772503;0.011830;;
obesity;0.2;0.931073;0.013829;0.772608;0.011680;0.771504;0.011296;;
obesity;0.3;0.928442;0.013389;0.772608;0.011680;0.771661;0.011640;;
pen_based_recognition;0.1;0.990941;0.004091;0.990944;0.001819;0.990712;0.001803;;
pen_based_recognition;0.2;0.989965;0.003358;0.990944;0.001819;0.990570;0.001794;;
pen_based_recognition;0.3;0.989500;0.002999;0.990944;0.001819;0.990277;0.001979;;
student;0.1;0.362963;0.083421;0.141026;0.026313;0.140513;0.024301;;
student;0.2;0.370370;0.050060;0.141026;0.026313;0.145812;0.027491;;
student;0.3;0.363951;0.041023;0.141026;0.026313;0.152479;0.028311;;
wine;0.1;0.969444;0.046338;0.964815;0.020257;0.962346;0.020335;;
wine;0.2;0.968056;0.032244;0.964815;0.020257;0.962963;0.021749;;
wine;0.3;0.969444;0.022306;0.964815;0.020257;0.963580;0.023060;;
