dataset,missing_frac,imp_mode_mean,imp_mode_std,clf_original_mean,clf_original_std,clf_mode_mean,clf_mode_std
balance_scale,0.1,0.396124,0.042084,0.832447,0.015476,0.816312,0.023818
balance_scale,0.2,0.427969,0.028265,0.832447,0.015476,0.785993,0.023569
balance_scale,0.3,0.436387,0.024884,0.832447,0.015476,0.744149,0.029742
bank_marketing,0.1,0.215529,0.006482,0.388536,0.003241,0.376229,0.0037
bank_marketing,0.2,0.2152,0.004551,0.388536,0.003241,0.351315,0.003469
bank_marketing,0.3,0.214827,0.004282,0.388536,0.003241,0.320522,0.003933
car_evaluation,0.1,0.694167,0.042274,0.887604,0.010349,0.860116,0.01183
car_evaluation,0.2,0.697372,0.029581,0.887604,0.010349,0.831407,0.012215
car_evaluation,0.3,0.704604,0.024622,0.887604,0.010349,0.803661,0.013477
image_segmentation,0.1,0.110973,0.010663,0.632709,0.015627,0.585927,0.023572
image_segmentation,0.2,0.117853,0.009549,0.632709,0.015627,0.519356,0.032696
image_segmentation,0.3,0.125292,0.005379,0.632709,0.015627,0.445629,0.038331
nursery,0.1,0.32885,0.016957,0.93029,0.004007,0.875737,0.007811
nursery,0.2,0.329438,0.010177,0.93029,0.004007,0.801406,0.015134
nursery,0.3,0.328972,0.009975,0.93029,0.004007,0.711283,0.022847
obesity,0.1,0.157596,0.02404,0.772608,0.01168,0.75326,0.011334
obesity,0.2,0.16113,0.016017,0.772608,0.01168,0.708149,0.014025
obesity,0.3,0.160497,0.014379,0.772608,0.01168,0.635174,0.014872
pen_based_recognition,0.1,0.092068,0.006151,0.990944,0.001819,0.981666,0.002313
pen_based_recognition,0.2,0.094993,0.00355,0.990944,0.001819,0.935052,0.004557
pen_based_recognition,0.3,0.09753,0.002955,0.990944,0.001819,0.838245,0.007598
student,0.1,0.153333,0.04571,0.141026,0.026313,0.142564,0.024664
student,0.2,0.152222,0.031175,0.141026,0.026313,0.148889,0.022514
student,0.3,0.145926,0.022362,0.141026,0.026313,0.149573,0.021551
wine,0.1,0.386111,0.14431,0.967901,0.020012,0.962963,0.021749
wine,0.2,0.420833,0.081407,0.967901,0.020012,0.946914,0.03395
wine,0.3,0.377477,0.079824,0.967901,0.020012,0.869136,0.063953
